area_name,emirate,verified_emirate,keep_for_dubai,source,times_seen_in_results
DAMAC Hills 2 (Akoya by DAMAC),Dubai,Dubai,true,seed,0
DAMAC Islands,Dubai,Dubai,true,seed,0
DAMAC Islands 2,Dubai,Dubai,true,seed,0
DAMAC Lagoons,Dubai,Dubai,true,seed,0
DAMAC Sun City,Dubai,Dubai,true,seed,0
Deira,Dubai,Dubai,true,seed,55
DIFC,Dubai,Dubai,true,seed,35
DIFC Zabeel District,Dubai,Dubai,true,seed,0
Discovery Gardens,Dubai,Dubai,true,seed,1
District 11,Dubai,Dubai,true,seed,0
District 7,Dubai,Dubai,true,seed,0
District One,Dubai,Dubai,true,seed,0
District One West,Dubai,Dubai,true,seed,0
Downtown Dubai,Dubai,Dubai,true,seed,135
Dubai Creek Harbour,Dubai,Dubai,true,seed,6
Dubai Design District (D3),Dubai,Dubai,true,seed,0
Dubai Festival City,Dubai,Dubai,true,seed,5
Dubai Harbour,Dubai,Dubai,true,seed,0
Dubai Hills Estate,Dubai,Dubai,true,seed,0
Dubai Industrial City,Dubai,Dubai,true,seed,0
Dubai Internet City,Dubai,Dubai,true,seed,10
Dubai Investment Park (DIP),Dubai,Dubai,true,seed,0
Dubai Islands,Dubai,Dubai,true,seed,0
Dubai Land Residence Complex (DLRC),Dubai,Dubai,true,seed,0
Dubai Lifestyle City,Dubai,Dubai,true,seed,0
Dubai Marina,Dubai,Dubai,true,seed,140
Dubai Maritime City,Dubai,Dubai,true,seed,0
Dubai Media City,Dubai,Dubai,true,seed,22
Dubai Production City (IMPZ),Dubai,Dubai,true,seed,0
Dubai Science Park,Dubai,Dubai,true,seed,0
Dubai Silicon Oasis (DSO),Dubai,Dubai,true,seed,0
Dubai South,Dubai,Dubai,true,seed,4
Dubai Sports City,Dubai,Dubai,true,seed,5
Dubai Studio City,Dubai,Dubai,true,seed,7
Dubai Waterfront,Dubai,Dubai,true,seed,0
Dubai World Trade Centre (DWTC),Dubai,Dubai,true,seed,0
Dubailand,Dubai,Dubai,true,seed,5
Eden Hills,Dubai,Dubai,true,seed,0
Emirates Hills,Dubai,Dubai,true,seed,1
Expo City,Dubai,Dubai,true,seed,0
Falcon City of Wonders,Dubai,Dubai,true,seed,1
Ghaf Woods,Dubai,Dubai,true,seed,0
Green Community,Dubai,Dubai,true,seed,0
Haven by Aldar,Dubai,Dubai,true,seed,0
International City,Dubai,Dubai,true,seed,0
Jebel Ali,Dubai,Dubai,true,seed,0
Jumeirah,Dubai,Dubai,true,seed,30
Jumeirah Beach Residence (JBR),Dubai,Dubai,true,seed,0
Jumeirah Golf Estates,Dubai,Dubai,true,seed,13
Jumeirah Heights,Dubai,Dubai,true,seed,0
Jumeirah Islands,Dubai,Dubai,true,seed,0
Jumeirah Lake Towers (JLT),Dubai,Dubai,true,seed,0
Jumeirah Park,Dubai,Dubai,true,seed,1
Jumeirah Village Circle (JVC),Dubai,Dubai,true,seed,0
Jumeirah Village Triangle (JVT),Dubai,Dubai,true,seed,0
Living Legends,Dubai,Dubai,true,seed,0
Liwan,Dubai,Dubai,true,seed,6
Liwan 2,Dubai,Dubai,true,seed,0
Majan,Dubai,Dubai,true,seed,1
Meydan,Dubai,Dubai,true,seed,0
Meydan Horizon,Dubai,Dubai,true,seed,0
Mina Rashid,Dubai,Dubai,true,seed,0
Mirdif,Dubai,Dubai,true,seed,4
Mohammed Bin Rashid City (MBR City),Dubai,Dubai,true,seed,0
Motor City,Dubai,Dubai,true,seed,0
Mudon,Dubai,Dubai,true,seed,1
Muhaisnah,Dubai,Dubai,true,seed,5
Nad Al Hamar,Dubai,Dubai,true,seed,0
Nad Al Sheba,Dubai,Dubai,true,seed,8
Palm Jebel Ali,Dubai,Dubai,true,seed,0
Palm Jumeirah,Dubai,Dubai,true,seed,133
Paradise Hills,Dubai,Dubai,true,seed,0
Pearl Jumeirah,Dubai,Dubai,true,seed,0
R. Hills,Dubai,Dubai,true,seed,0
Ras Al Khor,Dubai,Dubai,true,seed,13
Reem,Dubai,Dubai,true,seed,0
Remraam,Dubai,Dubai,true,seed,1
Reportage Village,Dubai,Dubai,true,seed,0
Rukan,Dubai,Dubai,true,seed,0
Serena,Dubai,Dubai,true,seed,0
Sheikh Zayed Road,Dubai,Dubai,true,seed,0
Sobha Elwood,Dubai,Dubai,true,seed,0
Sobha Hartland,Dubai,Dubai,true,seed,0
Sobha Hartland 2,Dubai,Dubai,true,seed,0
Sobha Reserve,Dubai,Dubai,true,seed,0
Taormina Village 1,Dubai,Dubai,true,seed,0
The Acres,Dubai,Dubai,true,seed,0
The Greens,Dubai,Dubai,true,seed,70
The Heights Country Club and Wellness,Dubai,Dubai,true,seed,0
The Hills,Dubai,Dubai,true,seed,0
The Lakes,Dubai,Dubai,true,seed,0
The Meadows,Dubai,Dubai,true,seed,0
The Oasis by Emaar,Dubai,Dubai,true,seed,0
The Palmarosa,Dubai,Dubai,true,seed,0
The Springs,Dubai,Dubai,true,seed,0
The Sustainable City,Dubai,Dubai,true,seed,1
The Valley by Emaar,Dubai,Dubai,true,seed,0
The Views,Dubai,Dubai,true,seed,0
The Villa,Dubai,Dubai,true,seed,1
The Wilds,Dubai,Dubai,true,seed,0
The World Islands,Dubai,Dubai,true,seed,0
Tilal Al Ghaf,Dubai,Dubai,true,seed,2
Town Square,Dubai,Dubai,true,seed,4
Umm Al Sheif,Dubai,Dubai,true,seed,12
Umm Suqeim,Dubai,Dubai,true,seed,6
Villanova,Dubai,Dubai,true,seed,0
Wasl Gate,Dubai,Dubai,true,seed,0
Za'abeel,Dubai,Dubai,true,seed,3
2 Al Nuaimia,Dubai,Ajman,false,loop,7
3 Al Nuaimia,Dubai,Ajman,false,loop,8
3 etages,Dubai,Dubai,true,loop,2
Abu Hail,Dubai,Dubai,true,loop,9
Ajman Industrial 2,Dubai,Ajman,false,loop,3
AKOYA,Dubai,Dubai,true,loop,2
Al Amerah,Dubai,Dubai,true,loop,2
Al Awir Second,Dubai,Dubai,true,loop,1
Al Bada',Dubai,Dubai,true,loop,2
Al Baraha,Dubai,Dubai,true,loop,2
Al Barsha First,Dubai,Dubai,true,loop,58
Al Barsha Heights,Dubai,Dubai,true,loop,4
Al Barsha South,Dubai,Dubai,true,loop,12
Al Barsha South Fifth,Dubai,Dubai,true,loop,37
Al Barsha South Fourth,Dubai,Dubai,true,loop,58
Al Barsha South Third,Dubai,Dubai,true,loop,12
Al Barsha Third,Dubai,Dubai,true,loop,8
Al Bateen,Dubai,Abu Dhabi,false,loop,3
Al Bustan,Dubai,Ajman,false,loop,3
Al Buteen,Dubai,Dubai,true,loop,3
Al Corniche,Dubai,Dubai,true,loop,3
Al Danah,Dubai,Dubai,true,loop,9
Al Fahidi,Dubai,Dubai,true,loop,10
Al Forsan Village,Dubai,Dubai,true,loop,4
Al Hamidiya 1,Dubai,Ajman,false,loop,3
Al Hamriya,Dubai,Dubai,true,loop,8
Al Hebiah Fifth,Dubai,Dubai,true,loop,6
Al Hebiah First,Dubai,Dubai,true,loop,137
Al Hebiah Fourth,Dubai,Dubai,true,loop,6
Al Hebiah Second,Dubai,Dubai,true,loop,8
Al Hebiah Sixth,Dubai,Dubai,true,loop,1
Al Hebiah Third,Dubai,Dubai,true,loop,2
Al Hisn,Dubai,Dubai,true,loop,1
Al Hudaiba,Dubai,Dubai,true,loop,4
Al Jadaf,Dubai,Dubai,true,loop,27
Al Jerf 1,Dubai,Ajman,false,loop,2
Al Jerf 2,Dubai,Ajman,false,loop,7
Al Jerf Industrial 1,Dubai,Ajman,false,loop,4
Al Jerf Industrial 3,Dubai,Ajman,false,loop,4
Al jerf industrial Area 3,Dubai,Ajman,false,loop,3
Al Karama,Dubai,Dubai,true,loop,11
Al Khabaisi,Dubai,Dubai,true,loop,10
Al Khan,Dubai,Sharjah,false,loop,13
Al Khawaneej 2,Dubai,Dubai,true,loop,3
Al Kheeran,Dubai,Dubai,true,loop,5
Al Kheeran First,Dubai,Dubai,true,loop,5
Al Khor,Dubai,Dubai,true,loop,10
Al Khwaneej Second,Dubai,Dubai,true,loop,2
Al Kifaf,Dubai,Dubai,true,loop,2
Al Ma'arid,Dubai,Dubai,true,loop,1
Al Mahatta,Dubai,Dubai,true,loop,2
Al Majaz,Dubai,Sharjah,false,loop,9
Al Majaz 1,Dubai,Sharjah,false,loop,9
Al Majaz 2,Dubai,Sharjah,false,loop,5
Al Majaz 3,Dubai,Sharjah,false,loop,7
Al Majaz District,Dubai,Sharjah,false,loop,7
Al Manakh,Dubai,Sharjah,false,loop,3
Al Manhal,Dubai,Dubai,true,loop,1
Al Mankhool,Dubai,Dubai,true,loop,15
Al Markaziyah West,Dubai,Dubai,true,loop,1
Al Merkadh,Dubai,Dubai,true,loop,13
Al Mowaihat 3,Dubai,Ajman,false,loop,6
Al Muaihat 1,Dubai,Ajman,false,loop,1
Al Muraqqabat,Dubai,Dubai,true,loop,8
Al Mussalla,Dubai,Sharjah,false,loop,4
Al Muteena,Dubai,Dubai,true,loop,2
Al Muwaihat 3,Dubai,Ajman,false,loop,4
Al Mwaihat 2,Dubai,Ajman,false,loop,1
Al Nad,Dubai,Sharjah,false,loop,6
Al Nahda,Dubai,Dubai,true,loop,7
Al Nahda First,Dubai,Sharjah,false,loop,15
Al Nahda Second,Dubai,Dubai,true,loop,6
Al Nahyan,Dubai,Dubai,true,loop,8
Al Nakheel,Dubai,Dubai,true,loop,1
Al Nakhil 2,Dubai,Ajman,false,loop,2
Al Nuaimia 1,Dubai,Ajman,false,loop,6
Al Owan,Dubai,Ajman,false,loop,2
Al Qasba,Dubai,Dubai,true,loop,7
Al Qouz First,Dubai,Dubai,true,loop,43
Al Qouz Ind.first,Dubai,Dubai,true,loop,19
Al Qouz Ind.third,Dubai,Dubai,true,loop,100
Al Qouz Third,Dubai,Dubai,true,loop,9
Al Qusais,Dubai,Dubai,true,loop,9
Al Qusais 1,Dubai,Dubai,true,loop,16
Al Qusais 2,Dubai,Dubai,true,loop,9
Al Qusais Ind. Fifth,Dubai,Dubai,true,loop,2
Al Qusais Ind. Second,Dubai,Dubai,true,loop,4
Al Qusais Industrial Area,Dubai,Dubai,true,loop,6
Al Raffa,Dubai,Dubai,true,loop,12
Al Rahah,Dubai,Abu Dhabi,false,loop,2
Al Ras,Dubai,Dubai,true,loop,1
Al Rashidiya 1,Dubai,Dubai,true,loop,12
Al Rashidiya 2,Dubai,Ajman,false,loop,17
Al Rashidiya 3,Dubai,Ajman,false,loop,7
Al Rawda 1,Dubai,Ajman,false,loop,6
Al Rawda 2,Dubai,Ajman,false,loop,3
Al Rawdah,Dubai,Ajman,false,loop,1
Al Reem Island,Dubai,Abu Dhabi,false,loop,8
Al Rigga,Dubai,Dubai,true,loop,6
Al Rumailah,Dubai,Ajman,false,loop,3
Al Rumailah 2,Dubai,Ajman,false,loop,3
Al Sa`Adah,Dubai,Dubai,true,loop,1
Al Saadiyat Island,Dubai,Abu Dhabi,false,loop,3
Al Sabkha,Dubai,Dubai,true,loop,3
Al Safa 1,Dubai,Dubai,true,loop,10
Al Safa 2,Dubai,Dubai,true,loop,4
Al Safouh Second,Dubai,Dubai,true,loop,13
Al Sajaa,Dubai,Dubai,true,loop,2
Al Shahama,Dubai,Dubai,true,loop,4
Al Shahamah New,Dubai,Dubai,true,loop,2
Al Shamkhah,Dubai,Abu Dhabi,false,loop,2
Al Soor,Dubai,Sharjah,false,loop,5
Al Souq Al Kabeer,Dubai,Dubai,true,loop,11
Al Sufouh 1,Dubai,Dubai,true,loop,11
Al Sufouh 2,Dubai,Dubai,true,loop,2
Al Tallah 2,Dubai,Dubai,true,loop,3
Al Thammam,Dubai,Dubai,true,loop,2
Al Thanyah Fifth,Dubai,Dubai,true,loop,7
Al Thanyah First,Dubai,Dubai,true,loop,138
Al Thanyah Fourth,Dubai,Dubai,true,loop,5
Al Thanyah Third,Dubai,Dubai,true,loop,83
Al Twar 2,Dubai,Dubai,true,loop,4
Al Twar 4,Dubai,Dubai,true,loop,5
Al Twar 5,Dubai,Dubai,true,loop,7
Al Warqa,Dubai,Dubai,true,loop,4
Al Warqa 1,Dubai,Dubai,true,loop,4
Al Warqa'a First,Dubai,Dubai,true,loop,4
Al Yalayis 1,Dubai,Dubai,true,loop,4
Al Yalayis 2,Dubai,Dubai,true,loop,96
Al Yalayis 5,Dubai,Dubai,true,loop,2
Al Yarmook,Dubai,Dubai,true,loop,8
Al Yasmeen,Dubai,Dubai,true,loop,2
Al Yufrah 1,Dubai,Dubai,true,loop,3
Al Yufrah 2,Dubai,Dubai,true,loop,2
Al Zahiyah,Dubai,Abu Dhabi,false,loop,2
Al Zahya,Dubai,Dubai,true,loop,3
Barsha Heights,Dubai,Dubai,true,loop,154
Bay Square,Dubai,Dubai,true,loop,167
Bu Kadra,Dubai,Dubai,true,loop,5
Burj Khalifa,Dubai,Dubai,true,loop,136
Business Park,Dubai,Dubai,true,loop,6
Business Village,Dubai,Dubai,true,loop,2
Cultural District,Dubai,Dubai,true,loop,1
Dahan,Dubai,Dubai,true,loop,7
Damac Islands Phase 2,Dubai,Dubai,true,loop,3
District 13,Dubai,Dubai,true,loop,10
Dubai Design District,Dubai,Dubai,true,loop,1
Dubai Hills,Dubai,Dubai,true,loop,63
dubai industrial,Dubai,Dubai,true,loop,4
Dubai Int'l Airport,Dubai,Dubai,true,loop,2
Dubai International City,Dubai,Dubai,true,loop,20
Dubai Investment Park,Dubai,Dubai,true,loop,3
Dubai Investment Park First,Dubai,Dubai,true,loop,12
Dubai Land Residence Complex,Dubai,Dubai,true,loop,4
Dubai Motor City,Dubai,Dubai,true,loop,136
Dubai Production City,Dubai,Dubai,true,loop,41
Dubai Silicon Oasis,Dubai,Dubai,true,loop,26
Dubai South Logistics District,Dubai,Dubai,true,loop,2
Dubai South Residential District,Dubai,Dubai,true,loop,3
"Dubai, Town Square",Dubai,Dubai,true,loop,1
E-38,Dubai,Dubai,true,loop,1
E11,Dubai,Dubai,true,loop,8
E16,Dubai,Dubai,true,loop,2
E16 01,Dubai,Dubai,true,loop,1
E19 02,Dubai,Dubai,true,loop,3
E22 02,Dubai,Dubai,true,loop,2
E25,Dubai,Dubai,true,loop,4
E4 02,Dubai,Dubai,true,loop,1
Emirates City,Dubai,Dubai,true,loop,1
Emirates Industrial City,Dubai,Dubai,true,loop,1
England Cluster,Dubai,Dubai,true,loop,17
Expo City Dubai,Dubai,Dubai,true,loop,2
Floor 28,Dubai,Dubai,true,loop,3
France Cluster,Dubai,Dubai,true,loop,7
Free Zone,Dubai,Dubai,true,loop,2
Ghoroob,Dubai,Dubai,true,loop,2
Golf City,Dubai,Dubai,true,loop,4
Green Community Village,Dubai,Dubai,true,loop,10
Hadaeq Sheikh Mohammed Bin Rashid,Dubai,Dubai,true,loop,75
Hadbat Al Za`Faranah,Dubai,Dubai,true,loop,1
Halwan,Dubai,Dubai,true,loop,5
Hamidiya,Dubai,Ajman,false,loop,1
Hay Al Gharb,Dubai,Dubai,true,loop,5
Hay Al Nahda,Dubai,Dubai,true,loop,12
Hay Al Qasimiah,Dubai,Sharjah,false,loop,13
Hor Al Anz,Dubai,Dubai,true,loop,7
Hor Al Anz East,Dubai,Dubai,true,loop,6
Impz,Dubai,Dubai,true,loop,1
Industrial 1,Dubai,Dubai,true,loop,2
Industrial Area,Dubai,Dubai,true,loop,5
Industrial Area 1,Dubai,Dubai,true,loop,10
Industrial Area 3,Dubai,Dubai,true,loop,3
Industrial Areas,Dubai,Dubai,true,loop,1
Jabal Ali Industrial First,Dubai,Dubai,true,loop,4
Jabal Ali Industrial Second,Dubai,Dubai,true,loop,4
Jaddaf Waterfront,Dubai,Dubai,true,loop,8
Jebel Ali Freezone,Dubai,Dubai,true,loop,6
Jebel Ali Industrial Area,Dubai,Dubai,true,loop,3
Jebel Ali Village,Dubai,Dubai,true,loop,15
JLT,Dubai,Dubai,true,loop,1
Jumeira Second,Dubai,Dubai,true,loop,2
Jumeirah 1,Dubai,Dubai,true,loop,8
Jumeirah Beach Residence,Dubai,Dubai,true,loop,5
Jumeirah Lakes Towers,Dubai,Dubai,true,loop,7
Jumeirah Village,Dubai,Dubai,true,loop,1
Jumeirah Village Circle,Dubai,Dubai,true,loop,59
Jumeirah Village Triangle,Dubai,Dubai,true,loop,37
Jurf Industrial 3,Dubai,Dubai,true,loop,7
Khalifa District,Dubai,Dubai,true,loop,3
Layan,Dubai,Dubai,true,loop,2
Legends,Dubai,Dubai,true,loop,6
Liwara 1,Dubai,Dubai,true,loop,2
M-08,Dubai,Dubai,true,loop,3
Madinat Al Mataar,Dubai,Dubai,true,loop,5
Madinat Dubai Al Melaheyah,Dubai,Dubai,true,loop,6
Madinat Hind 4,Dubai,Dubai,true,loop,3
Marsa Dubai,Dubai,Dubai,true,loop,139
Me'aisem First,Dubai,Dubai,true,loop,48
Me'aisem Second,Dubai,Dubai,true,loop,1
Mina Jebel Ali,Dubai,Dubai,true,loop,4
Mowaihat 1,Dubai,Ajman,false,loop,3
Muhaisanah 2,Dubai,Dubai,true,loop,3
Muhaisanah Fourth,Dubai,Dubai,true,loop,6
Muhaisanah Second,Dubai,Dubai,true,loop,3
Muhaisnah 4,Dubai,Dubai,true,loop,9
Muwaileh Commercial,Dubai,Sharjah,false,loop,5
Nad Al Sheba 1,Dubai,Dubai,true,loop,23
Nad al sheba gardens,Dubai,Dubai,true,loop,3
Nadd Al Hamar,Dubai,Dubai,true,loop,8
Nadd Al Shiba First,Dubai,Dubai,true,loop,5
Nadd Hessa,Dubai,Dubai,true,loop,26
Naif,Dubai,Dubai,true,loop,5
New Shahamah,Dubai,Dubai,true,loop,4
Offices Jabal Ali,Dubai,Dubai,true,loop,6
Old Textile Market,Dubai,Dubai,true,loop,1
Oud Metha,Dubai,Dubai,true,loop,29
Palm Jabel Ali,Dubai,Dubai,true,loop,3
Plation Equestrian & Polo Club,Dubai,Dubai,true,loop,2
Port Saeed,Dubai,Dubai,true,loop,27
Ras Al Khor Ind. First,Dubai,Dubai,true,loop,7
Ras Al Khor Ind. Second,Dubai,Dubai,true,loop,10
Ras Al Khor Ind. Third,Dubai,Dubai,true,loop,2
Ras Al Khor Industrial,Dubai,Dubai,true,loop,4
Ras Al Khor Industrial Area,Dubai,Dubai,true,loop,7
Ras Al Khor Industrial Area 1,Dubai,Dubai,true,loop,9
Ras Al Khor Industrial Area 2,Dubai,Dubai,true,loop,1
Ras Al Khor Industrial Area 3,Dubai,Dubai,true,loop,9
Rashid Complex,Dubai,Dubai,true,loop,1
RBW11,Dubai,Dubai,true,loop,2
RBW3,Dubai,Dubai,true,loop,1
Riggat Al Buteen,Dubai,Dubai,true,loop,9
Russia Cluster,Dubai,Dubai,true,loop,4
Saadiyat Marina District,Dubai,Abu Dhabi,false,loop,3
SDN1,Dubai,Dubai,true,loop,1
Shams Abu Dhabi,Dubai,Dubai,true,loop,3
Sheikh Hamdan Colony,Dubai,Dubai,true,loop,2
SILICON OASIS,Dubai,Dubai,true,loop,2
Spain Cluster,Dubai,Dubai,true,loop,69
Springs 11,Dubai,Dubai,true,loop,4
Springs 15,Dubai,Dubai,true,loop,3
Springs 8,Dubai,Dubai,true,loop,3
SuburbAl Yarmook,Dubai,Dubai,true,loop,1
Sustainability District,Dubai,Dubai,true,loop,2
Tamouh,Dubai,Dubai,true,loop,7
Tel 04,Dubai,Dubai,true,loop,1
The Gardens,Dubai,Dubai,true,loop,3
The Gate District,Dubai,Dubai,true,loop,1
The Palm Jebel Ali,Dubai,Dubai,true,loop,9
The Palm Jumeirah,Dubai,Dubai,true,loop,44
Trade Center,Dubai,Dubai,true,loop,1
Trade Center First,Dubai,Dubai,true,loop,147
Trade Center Second,Dubai,Dubai,true,loop,35
Trade Centre District,Dubai,Dubai,true,loop,1
Trade CentreDIFC,Dubai,Dubai,true,loop,4
Um Altarafa,Dubai,Dubai,true,loop,1
Umm Dera,Dubai,Dubai,true,loop,1
Umm Hurair 1,Dubai,Dubai,true,loop,8
Umm Hurair First,Dubai,Dubai,true,loop,1
Umm Hurair Second,Dubai,Dubai,true,loop,7
Umm Ramool,Dubai,Dubai,true,loop,4
Umm Suqeim 1,Dubai,Dubai,true,loop,2
Umm Suqeim 2,Dubai,Dubai,true,loop,3
Umm Suqeim Second,Dubai,Dubai,true,loop,4
W12,Dubai,Dubai,true,loop,3
W15 02,Dubai,Dubai,true,loop,1
Wadi Al Safa 2,Dubai,Dubai,true,loop,11
Wadi Al Safa 3,Dubai,Dubai,true,loop,9
Wadi Al Safa 4,Dubai,Dubai,true,loop,2
Wadi Al Safa 5,Dubai,Dubai,true,loop,14
Wadi Al Safa 6,Dubai,Dubai,true,loop,13
Wadi Al Safa 7,Dubai,Dubai,true,loop,15
Warsan First,Dubai,Dubai,true,loop,29
X23,Dubai,Dubai,true,loop,7
Zaa'beel First,Dubai,Dubai,true,loop,4
Zaa'beel Second,Dubai,Dubai,true,loop,2
Zone 1,Dubai,Dubai,true,loop,9
