area_name,emirate,source,times_seen_in_results
Al Khor,Dubai,loop,10
Al Khwaneej Second,Dubai,loop,2
Al Kifaf,Dubai,loop,2
Al Ma'arid,Dubai,loop,1
Al Mahatta,Dubai,loop,2
Al Majaz,Dubai,loop,9
Al Majaz 1,Dubai,loop,9
Al Majaz 2,Dubai,loop,5
Al Majaz 3,Dubai,loop,7
Al Majaz District,Dubai,loop,7
Al Manakh,Dubai,loop,3
Al Manhal,Dubai,loop,1
Al Mankhool,Dubai,loop,15
Al Markaziyah West,Dubai,loop,1
Al Merkadh,Dubai,loop,13
Al Mowaihat 3,Dubai,loop,6
Al Muaihat 1,Dubai,loop,1
Al Muraqqabat,Dubai,loop,8
Al Mussalla,Dubai,loop,4
Al Muteena,Dubai,loop,2
Al Muwaihat 3,Dubai,loop,4
Al Mwaihat 2,Dubai,loop,1
Al Nad,Dubai,loop,6
Al Nahda,Dubai,loop,7
Al Nahda First,Dubai,loop,15
Al Nahda Second,Dubai,loop,6
Al Nahyan,Dubai,loop,8
Al Nakheel,Dubai,loop,1
Al Nakhil 2,Dubai,loop,2
Al Nuaimia 1,Dubai,loop,6
Al Owan,Dubai,loop,2
Al Qasba,Dubai,loop,7
Al Qouz First,Dubai,loop,43
Al Qouz Ind.first,Dubai,loop,19
Al Qouz Ind.third,Dubai,loop,100
Al Qouz Third,Dubai,loop,9
Al Qusais,Dubai,loop,9
Al Qusais 1,Dubai,loop,16
Al Qusais 2,Dubai,loop,9
Al Qusais Ind. Fifth,Dubai,loop,2
Al Qusais Ind. Second,Dubai,loop,4
Al Qusais Industrial Area,Dubai,loop,6
Al Raffa,Dubai,loop,12
Al Rahah,Dubai,loop,2
Al Ras,Dubai,loop,1
Al Rashidiya 1,Dubai,loop,12
Al Rashidiya 2,Dubai,loop,17
Al Rashidiya 3,Dubai,loop,7
Al Rawda 1,Dubai,loop,6
Al Rawda 2,Dubai,loop,3
Al Rawdah,Dubai,loop,1
Al Reem Island,Dubai,loop,8
Al Rigga,Dubai,loop,6
Al Rumailah,Dubai,loop,3
Al Rumailah 2,Dubai,loop,3
Al Sa`Adah,Dubai,loop,1
Al Saadiyat Island,Dubai,loop,3
Al Sabkha,Dubai,loop,3
Al Safa 1,Dubai,loop,10
Al Safa 2,Dubai,loop,4
Al Safouh Second,Dubai,loop,13
Al Sajaa,Dubai,loop,2
Al Shahama,Dubai,loop,4
Al Shahamah New,Dubai,loop,2
Al Shamkhah,Dubai,loop,2
Al Soor,Dubai,loop,5
Al Souq Al Kabeer,Dubai,loop,11
Al Sufouh 1,Dubai,loop,11
Al Sufouh 2,Dubai,loop,2
Al Tallah 2,Dubai,loop,3
Al Thammam,Dubai,loop,2
Al Thanyah Fifth,Dubai,loop,7
Al Thanyah First,Dubai,loop,138
Al Thanyah Fourth,Dubai,loop,5
Al Thanyah Third,Dubai,loop,83
Al Twar 2,Dubai,loop,4
Al Twar 4,Dubai,loop,5
Al Twar 5,Dubai,loop,7
Al Warqa,Dubai,loop,4
Al Warqa 1,Dubai,loop,4
Al Warqa'a First,Dubai,loop,4
Al Yalayis 1,Dubai,loop,4
Al Yalayis 2,Dubai,loop,96
Al Yalayis 5,Dubai,loop,2
Al Yarmook,Dubai,loop,8
Al Yasmeen,Dubai,loop,2
Al Yufrah 1,Dubai,loop,3
Al Yufrah 2,Dubai,loop,2
Al Zahiyah,Dubai,loop,2
Al Zahya,Dubai,loop,3
Barsha Heights,Dubai,loop,154
Bay Square,Dubai,loop,167
Bu Kadra,Dubai,loop,5
Burj Khalifa,Dubai,loop,136
Business Park,Dubai,loop,6
Business Village,Dubai,loop,2
Cultural District,Dubai,loop,1
Dahan,Dubai,loop,7
Damac Islands Phase 2,Dubai,loop,3
District 13,Dubai,loop,10
Dubai Design District,Dubai,loop,1
Dubai Hills,Dubai,loop,63
dubai industrial,Dubai,loop,4
Dubai Int'l Airport,Dubai,loop,2
Dubai International City,Dubai,loop,20
Dubai Investment Park,Dubai,loop,3
Dubai Investment Park First,Dubai,loop,12
Dubai Land Residence Complex,Dubai,loop,4
Dubai Motor City,Dubai,loop,136
Dubai Production City,Dubai,loop,41
Dubai Silicon Oasis,Dubai,loop,26
Dubai South Logistics District,Dubai,loop,2
Dubai South Residential District,Dubai,loop,3
"Dubai, Town Square",Dubai,loop,1
E-38,Dubai,loop,1
E11,Dubai,loop,8
E16,Dubai,loop,2
E16 01,Dubai,loop,1
E19 02,Dubai,loop,3
E22 02,Dubai,loop,2
E25,Dubai,loop,4
E4 02,Dubai,loop,1
Emirates City,Dubai,loop,1
Emirates Industrial City,Dubai,loop,1
England Cluster,Dubai,loop,17
Expo City Dubai,Dubai,loop,2
Floor 28,Dubai,loop,3
France Cluster,Dubai,loop,7
Free Zone,Dubai,loop,2
Ghoroob,Dubai,loop,2
Golf City,Dubai,loop,4
Green Community Village,Dubai,loop,10
Hadaeq Sheikh Mohammed Bin Rashid,Dubai,loop,75
Hadbat Al Za`Faranah,Dubai,loop,1
Halwan,Dubai,loop,5
Hamidiya,Dubai,loop,1
Hay Al Gharb,Dubai,loop,5
Hay Al Nahda,Dubai,loop,12
Hay Al Qasimiah,Dubai,loop,13
Hor Al Anz,Dubai,loop,7
Hor Al Anz East,Dubai,loop,6
Impz,Dubai,loop,1
Industrial 1,Dubai,loop,2
Industrial Area,Dubai,loop,5
Industrial Area 1,Dubai,loop,10
Industrial Area 3,Dubai,loop,3
Industrial Areas,Dubai,loop,1
Jabal Ali Industrial First,Dubai,loop,4
Jabal Ali Industrial Second,Dubai,loop,4
Jaddaf Waterfront,Dubai,loop,8
Jebel Ali Freezone,Dubai,loop,6
Jebel Ali Industrial Area,Dubai,loop,3
Jebel Ali Village,Dubai,loop,15
JLT,Dubai,loop,1
Jumeira Second,Dubai,loop,2
Jumeirah 1,Dubai,loop,8
Jumeirah Beach Residence,Dubai,loop,5
Jumeirah Lakes Towers,Dubai,loop,7
Jumeirah Village,Dubai,loop,1
Jumeirah Village Circle,Dubai,loop,59
Jumeirah Village Triangle,Dubai,loop,37
Jurf Industrial 3,Dubai,loop,7
Khalifa District,Dubai,loop,3
Layan,Dubai,loop,2
Legends,Dubai,loop,6
Liwara 1,Dubai,loop,2
M-08,Dubai,loop,3
Madinat Al Mataar,Dubai,loop,5
Madinat Dubai Al Melaheyah,Dubai,loop,6
Madinat Hind 4,Dubai,loop,3
Marsa Dubai,Dubai,loop,139
Me'aisem First,Dubai,loop,48
Me'aisem Second,Dubai,loop,1
Mina Jebel Ali,Dubai,loop,4
Mowaihat 1,Dubai,loop,3
Muhaisanah 2,Dubai,loop,3
Muhaisanah Fourth,Dubai,loop,6
Muhaisanah Second,Dubai,loop,3
Muhaisnah 4,Dubai,loop,9
Muwaileh Commercial,Dubai,loop,5
Nad Al Sheba 1,Dubai,loop,23
Nad al sheba gardens,Dubai,loop,3
Nadd Al Hamar,Dubai,loop,8
Nadd Al Shiba First,Dubai,loop,5
Nadd Hessa,Dubai,loop,26
Naif,Dubai,loop,5
New Shahamah,Dubai,loop,4
Offices Jabal Ali,Dubai,loop,6
Old Textile Market,Dubai,loop,1
Oud Metha,Dubai,loop,29
Palm Jabel Ali,Dubai,loop,3
Plation Equestrian & Polo Club,Dubai,loop,2
Port Saeed,Dubai,loop,27
Ras Al Khor Ind. First,Dubai,loop,7
Ras Al Khor Ind. Second,Dubai,loop,10
Ras Al Khor Ind. Third,Dubai,loop,2
Ras Al Khor Industrial,Dubai,loop,4
Ras Al Khor Industrial Area,Dubai,loop,7
Ras Al Khor Industrial Area 1,Dubai,loop,9
Ras Al Khor Industrial Area 2,Dubai,loop,1
Ras Al Khor Industrial Area 3,Dubai,loop,9
Rashid Complex,Dubai,loop,1
RBW11,Dubai,loop,2
RBW3,Dubai,loop,1
Riggat Al Buteen,Dubai,loop,9
Russia Cluster,Dubai,loop,4
Saadiyat Marina District,Dubai,loop,3
SDN1,Dubai,loop,1
Shams Abu Dhabi,Dubai,loop,3
Sheikh Hamdan Colony,Dubai,loop,2
SILICON OASIS,Dubai,loop,2
Spain Cluster,Dubai,loop,69
Springs 11,Dubai,loop,4
Springs 15,Dubai,loop,3
Springs 8,Dubai,loop,3
SuburbAl Yarmook,Dubai,loop,1
Sustainability District,Dubai,loop,2
Tamouh,Dubai,loop,7
Tel 04,Dubai,loop,1
The Gardens,Dubai,loop,3
The Gate District,Dubai,loop,1
The Palm Jebel Ali,Dubai,loop,9
The Palm Jumeirah,Dubai,loop,44
Trade Center,Dubai,loop,1
Trade Center First,Dubai,loop,147
Trade Center Second,Dubai,loop,35
Trade Centre District,Dubai,loop,1
Trade CentreDIFC,Dubai,loop,4
Um Altarafa,Dubai,loop,1
Umm Dera,Dubai,loop,1
Umm Hurair 1,Dubai,loop,8
Umm Hurair First,Dubai,loop,1
Umm Hurair Second,Dubai,loop,7
Umm Ramool,Dubai,loop,4
Umm Suqeim 1,Dubai,loop,2
Umm Suqeim 2,Dubai,loop,3
Umm Suqeim Second,Dubai,loop,4
W12,Dubai,loop,3
W15 02,Dubai,loop,1
Wadi Al Safa 2,Dubai,loop,11
Wadi Al Safa 3,Dubai,loop,9
Wadi Al Safa 4,Dubai,loop,2
Wadi Al Safa 5,Dubai,loop,14
Wadi Al Safa 6,Dubai,loop,13
Wadi Al Safa 7,Dubai,loop,15
Warsan First,Dubai,loop,29
X23,Dubai,loop,7
Zaa'beel First,Dubai,loop,4
Zaa'beel Second,Dubai,loop,2
Zone 1,Dubai,loop,9
